通用敏感数据,日期,2023/4/19,,
,,,,
设备敏感信息,JDBC连接串,jdbc:mysql://localhost:3306/test?user=root&password=&useUnicode=true&characterEncoding=gbk&autoReconnect=true&failOverReadOnly=false,,
设备敏感信息,IMEI,35-300109-960506-6,,
设备敏感信息,私网IPv4地址,192.168.80.126,,
设备敏感信息,公网IPv4地址,103.186.80.22,,
设备敏感信息,MAC地址,70-B5-E8-72-C2-10,,
设备敏感信息,MAC地址,70 B5 E8 72 C2 10,,
设备敏感信息,MAC地址,70:B5:E8:72:C2:10,,
设备敏感信息,URL链接,https://ztp.zt.chiansec.com/ztpms/#/DataSecurity/DataPolicy/DataDictionary?tab=dictionary,,
设备敏感信息,URL链接,/data/chiansec/ztpSevenGW/nginx/sbin,,
个人敏感信息,车辆识别代码,LFV3A24G5C3090044,,
个人敏感信息,车牌号（中国内地）,京N8P8F8,,
个人敏感信息,宗教信仰,佛教,,
个人敏感信息,宗教信仰,基督教,,
个人敏感信息,宗教信仰,伊斯兰教教,,
个人敏感信息,军官证,南3045172,,
个人敏感信息,军官证,南304517,,
个人敏感信息,护照号（中国内地）,EF1260892,,
个人敏感信息,护照号（中国内地）,**1260892,,
个人敏感信息,民族,蒙古族,,
个人敏感信息,民族,回族,,
个人敏感信息,民族,满族,,
个人敏感信息,民族,藏族,,
个人敏感信息,邮箱,zhonghuahua@chiansec.com,,
个人敏感信息,邮箱,123@qq.com,,
个人敏感信息,邮箱,345@163.com,,
个人敏感信息,邮箱,ee@126.com,,
个人敏感信息,SSN,123-11-4532,,
个人敏感信息,性别,：女,,
个人敏感信息,性别,：男,,
,,,,
手机号-内地,,"手机号：""19810431042",,
个人敏感信息,身份证（中国香港）,A123456(0),,
,,,,
个人敏感信息,电话号码（中国内地）,(010)56108397,,
个人敏感信息,电话号码（中国内地）,010-56108397,,
,,,,
位置敏感信息,省份（中国内地）,河南省,,
位置敏感信息,省份（中国内地）,内蒙古自治区,,
位置敏感信息,省份（中国内地）,北京市,,
位置敏感信息,省份（中国内地）,黑龙江省,,
位置敏感信息,省份（中国内地）,香港特别行政区,,
位置敏感信息,省份（中国内地）,澳门特别行政区,,
位置敏感信息,GPS位置,"北纬80.90度,东经123.40度",,
,,,,
